73.45,66.39,33.90,62.46,70.46
73.75,67.19,34.33,64.79,70.00
74.35,68.74,36.07,63.24,70.17
74.93,71.52,36.85,63.66,68.82
74.28,71.56,37.35,63.03,69.56
75.14,73.08,37.18,62.42,67.28
74.75,72.99,37.03,64.12,67.35
74.64,72.13,37.03,61.98,66.50
73.62,71.68,38.04,63.05,66.38
73.04,70.53,38.36,61.71,66.17
73.01,68.97,37.68,63.40,66.63
72.15,68.32,38.53,61.29,66.60
71.99,69.09,37.16,62.21,67.13
72.27,69.68,36.72,60.96,66.77
73.17,71.03,36.64,59.95,66.55
73.14,70.18,36.66,62.07,65.84
72.37,69.71,35.72,59.51,65.33
70.46,67.85,36.29,61.63,64.69
71.13,66.94,35.93,59.43,65.56
70.26,65.92,35.49,61.93,66.12
70.03,64.04,33.48,60.03,65.76
69.59,63.78,32.87,59.53,65.82
69.25,62.34,31.86,60.18,65.35
68.91,62.74,30.66,56.71,65.43
67.36,58.95,34.48,57.28,64.48
69.12,61.06,35.80,54.13,65.72
71.97,68.41,37.70,57.14,66.63
75.75,70.97,38.76,71.50,67.74
76.98,72.22,38.44,74.55,68.47
77.55,73.26,38.76,74.71,68.58
77.98,73.86,38.57,74.93,67.74
76.69,72.44,38.38,72.19,67.97
74.77,71.03,38.28,70.27,68.03
74.09,70.90,36.37,68.41,68.03
74.43,71.82,36.10,66.34,67.56
74.26,71.59,35.97,65.26,67.44
73.66,69.85,36.39,64.84,65.89
72.43,67.14,35.78,66.74,65.99
70.80,65.15,35.25,65.29,65.53
72.13,66.15,34.47,66.80,65.66
71.96,66.78,34.10,66.33,66.15
71.43,66.71,33.24,66.30,65.44
70.85,65.73,34.16,65.19,65.65
70.40,65.75,33.43,62.87,64.71
70.08,65.58,33.03,64.04,64.77
69.24,65.22,33.91,60.28,65.03
67.75,60.27,33.67,60.66,64.36
69.34,62.57,34.09,60.96,65.05
68.58,61.90,34.05,61.87,65.04
69.81,60.89,33.70,63.65,65.41
69.70,62.69,33.81,63.22,64.33
69.45,62.48,32.27,62.96,64.08
69.36,60.11,32.29,60.98,64.11
69.00,59.10,30.44,59.78,65.33
70.25,59.45,31.84,60.57,67.15
72.15,61.66,31.76,59.04,69.76
72.08,61.70,33.24,61.77,69.92
72.54,59.98,33.49,62.07,71.38
72.04,58.59,35.07,62.69,71.31
72.68,58.00,35.75,62.75,71.71
72.68,59.02,35.20,61.05,71.77
71.89,59.52,35.43,61.64,70.77
71.56,57.00,36.26,60.21,69.93
72.10,57.16,35.09,62.34,70.42
70.71,57.11,33.19,62.69,68.84
71.80,59.53,34.12,62.74,69.23
71.82,60.50,35.12,62.18,68.66
70.37,59.39,34.20,61.38,67.46
70.82,58.23,34.63,60.64,68.20
69.89,57.25,34.98,60.45,67.76
70.59,57.62,35.25,60.44,68.67
70.88,57.72,35.19,60.75,69.04
71.10,56.17,34.26,60.51,68.74
71.06,57.10,33.95,58.76,68.97
71.40,58.80,34.66,58.49,69.02
70.75,58.33,34.32,56.28,68.63
69.74,58.59,33.83,57.75,67.62
70.56,57.70,31.00,56.04,67.95
69.18,60.11,32.53,56.46,66.42
70.95,61.71,33.65,55.71,68.05
71.47,62.46,31.88,56.66,69.03
71.68,64.79,33.23,55.45,68.74
73.00,68.36,34.06,52.90,69.46
72.71,67.37,34.03,52.87,70.09
74.72,69.84,34.22,50.99,69.64
74.21,70.24,33.71,51.63,69.55
73.50,69.11,34.41,55.08,69.36
75.07,71.74,34.74,54.40,69.17
